"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","scaled_chit","scaled_prot","richness","shannon.16s","ef.16s"
"exp2_82_DAY15_tube",3.2145,"82","15","tube","temp22_ph3_food3",3,3,22,"3/21/22",NA,702.7033017,19393.21631,NA,NA,NA,NA,0.43075688272541,73,3.6566569294202,38.73164357703
"exp2_82_DAY57_tube",1.7545,"82","57","tube","temp22_ph3_food3",3,3,22,"3/21/22",0.092753592,836.0050609,2403.693526,7.94,"LT",20,-0.0694821714077816,0.678956206598033,77,2.77860788707813,16.0965970625897
"exp2_83_DAY1_tube",1.0735,"83","1","tube","temp37_ph3_food3",3,3,37,"3/21/22",0.009545045,20.90609735,NA,NA,NA,NA,-1.22432564728043,-0.838705772182409,45,2.09719637808939,8.14330712395822
"exp2_83_DAY15_tube",5.492,"83","15","tube","temp37_ph3_food3",3,3,37,"3/21/22",NA,106.4580481,16833.59055,NA,NA,NA,NA,-0.679413528332307,28,1.8402629445107,6.29819411888862
"exp2_83_DAY57_tube",4.4085,"83","57","tube","temp37_ph3_food3",3,3,37,"3/21/22",0.200826028,504.7124521,1145.8506,7.7,"LT",20,1.43044484493904,0.0621106225514762,30,2.14376406902817,8.53149038537168
"exp2_84_DAY1_tube",0.9485,"84","1","tube","temp37_ph3_food3",3,3,37,"3/21/22",0.008763499,21.11351825,NA,NA,NA,NA,-1.23517264956247,-0.83831956777336,46,2.10940340078907,8.24332185799365
"exp2_84_DAY15_tube",1.567,"84","15","tube","temp37_ph3_food3",3,3,37,"3/21/22",NA,118.9177269,16065.79522,NA,NA,NA,NA,-0.656214405737156,30,1.89560904867967,6.65660136455481
"exp2_84_DAY57_tube",2.431,"84","57","tube","temp37_ph3_food3",3,3,37,"3/21/22",0.216985404,574.6638665,1427.113561,7.59,"LT",20,1.65471928092664,0.19235566854494,35,2.30235005694515,9.99764991569915
"exp2_85_DAY1_tube",1.7685,"85","1","tube","temp22_ph3_food6",6,3,22,"3/21/22",0.012124423,63.96111497,NA,NA,NA,NA,-1.18852670639627,-0.75854009149867,46,2.2104277019076,9.11961603621372
"exp2_85_DAY15_tube",6.2145,"85","15","tube","temp22_ph3_food6",6,3,22,"3/21/22",NA,723.0858497,29905.60424,NA,NA,NA,NA,0.46870787949216,54,3.09449811877068,22.0761561483702
