,rowname,ID,BetaNTI,dna_con_ug_ml,sample_id,day,container,treatment_combo,food,ph,temperature,data_inoculated,chitinase,protease,respiration_co2_ppm_hr,ph_final,color,final_volume_ml
446,exp2_MIX_GROUP2,exp2_87_DAY1_tube,-1.384931483,0.5535,87,1,tube,temp37_ph3_food6,6,3,37,3/21/22,0.005270394,12.23527943,NA,NA,NA,NA
450,exp2_MIX_GROUP2,exp2_87_DAY15_tube,-1.209603201,20.1485,87,15,tube,temp37_ph3_food6,6,3,37,3/21/22,NA,46.52037382,21452.21418,NA,NA,NA
454,exp2_MIX_GROUP2,exp2_87_DAY57_tube,-0.852548702,5.996,87,57,tube,temp37_ph3_food6,6,3,37,3/21/22,0.14408019,129.4856603,13157.09653,7.85,LT,20
458,exp2_MIX_GROUP2,exp2_88_DAY1_tube,0.755457289,0.4235,88,1,tube,temp37_ph3_food6,6,3,37,3/21/22,0.004986413,11.75687773,NA,NA,NA,NA
462,exp2_MIX_GROUP2,exp2_88_DAY15_tube,-0.84055257,17.9085,88,15,tube,temp37_ph3_food6,6,3,37,3/21/22,NA,45.54360665,13981.14354,NA,NA,NA
466,exp2_MIX_GROUP2,exp2_88_DAY57_tube,1.5988794,5.2685,88,57,tube,temp37_ph3_food6,6,3,37,3/21/22,0.139076263,200.0375712,15581.56669,7.87,LT,20
472,exp2_MIX_GROUP4,exp2_89_DAY1_tube,-0.052357448,0.421,89,1,tube,temp37_ph3_food3,3,3,37,4/11/22,0.00621276,9.698204537,NA,NA,NA,NA
476,exp2_MIX_GROUP4,exp2_89_DAY15_tube,-0.476259776,1.686,89,15,tube,temp37_ph3_food3,3,3,37,4/11/22,0.014120287,41.81543343,NA,NA,NA,NA
480,exp2_MIX_GROUP4,exp2_89_DAY57_tube,0.335517494,2.3395,89,57,tube,temp37_ph3_food3,3,3,37,4/11/22,0.362876032,94.38616419,10207.45069,7.82,LT,20
496,exp2_MIX_GROUP4,exp2_90_DAY1_tube,-0.276774484,0.381,90,1,tube,temp37_ph3_food3,3,3,37,4/11/22,0.005986264,8.367219493,NA,NA,NA,NA
500,exp2_MIX_GROUP4,exp2_90_DAY15_tube,-0.691228612,1.9685,90,15,tube,temp37_ph3_food3,3,3,37,4/11/22,0.005353637,66.76827364,NA,NA,NA,NA
504,exp2_MIX_GROUP4,exp2_90_DAY57_tube,0.361262463,3.151,90,57,tube,temp37_ph3_food3,3,3,37,4/11/22,0.338284132,136.654194,13300.68159,7.7,LT,20
508,exp2_MIX_GROUP4,exp2_91_DAY1_tube,-0.999168015,0.656,91,1,tube,temp37_ph3_food6,6,3,37,4/11/22,0.003768841,4.286491293,NA,NA,NA,NA
